Loc1Key,Loc1Lat,Loc1Lon,BestCMI,BestKey,BestLat,BestLon
62000,-34.425,172.875,0.743975,27686,48.3,-4.3
62001,-34.475,172.675,0.751048,27686,48.3,-4.3
62002,-34.475,172.725,0.756405,27686,48.3,-4.3
62003,-34.475,172.775,0.777977,27686,48.3,-4.3
62004,-34.475,172.825,0.754593,27686,48.3,-4.3
62005,-34.475,172.875,0.75853,27686,48.3,-4.3
62006,-34.475,172.925,0.751114,27686,48.3,-4.3
62007,-34.475,172.975,0.754871,27686,48.3,-4.3
62008,-34.525,172.775,0.741977,27686,48.3,-4.3
62009,-34.525,172.825,0.736095,27686,48.3,-4.3
62010,-34.575,172.825,0.743642,27686,48.3,-4.3
62011,-34.575,172.875,0.746169,27686,48.3,-4.3
62012,-34.625,172.875,0.743044,27686,48.3,-4.3
62013,-34.625,172.925,0.749598,27686,48.3,-4.3
62014,-34.625,172.975,0.747734,27686,48.3,-4.3
62015,-34.675,172.925,0.757073,27686,48.3,-4.3
62016,-34.675,172.975,0.748257,27686,48.3,-4.3
62017,-34.675,173.025,0.744232,27686,48.3,-4.3
62018,-34.725,172.975,0.754981,27686,48.3,-4.3
62019,-34.725,173.025,0.751587,27686,48.3,-4.3
62020,-34.725,173.075,0.744719,27686,48.3,-4.3
62021,-34.775,173.025,0.754283,27686,48.3,-4.3
62022,-34.775,173.075,0.747383,27686,48.3,-4.3
62023,-34.775,173.125,0.745756,27686,48.3,-4.3
62024,-34.825,173.025,0.751331,27686,48.3,-4.3
62025,-34.825,173.075,0.756217,27686,48.3,-4.3
62026,-34.825,173.125,0.74678,27686,48.3,-4.3
62027,-34.875,173.075,0.753897,27686,48.3,-4.3
62028,-34.875,173.125,0.752058,27686,48.3,-4.3
62029,-34.875,173.175,0.751096,27686,48.3,-4.3
62030,-34.875,173.325,0.758279,27686,48.3,-4.3
62031,-34.875,173.375,0.751853,27686,48.3,-4.3
62032,-34.925,173.125,0.754412,27686,48.3,-4.3
62033,-34.925,173.175,0.747173,27686,48.3,-4.3
62034,-34.925,173.225,0.742498,27686,48.3,-4.3
62035,-34.975,173.175,0.752438,27686,48.3,-4.3
62036,-34.975,173.375,0.722399,27686,48.3,-4.3
62037,-34.975,173.575,0.744973,27686,48.3,-4.3
62038,-34.975,173.625,0.732131,27686,48.3,-4.3
62039,-34.975,173.675,0.732144,27686,48.3,-4.3
62040,-35.025,173.175,0.750419,27686,48.3,-4.3
62041,-35.025,173.225,0.746541,27686,48.3,-4.3
62042,-35.025,173.275,0.745013,27686,48.3,-4.3
62043,-35.025,173.325,0.724692,27686,48.3,-4.3
62044,-35.025,173.375,0.71543,27686,48.3,-4.3
62045,-35.025,173.425,0.6944,27686,48.3,-4.3
62046,-35.025,173.525,0.688772,27686,48.3,-4.3
62047,-35.025,173.575,0.68302,27686,48.3,-4.3
62048,-35.025,173.625,0.693649,27686,48.3,-4.3
62049,-35.025,173.675,0.709456,27686,48.3,-4.3
62050,-35.025,173.725,0.711527,27686,48.3,-4.3
62051,-35.025,173.775,0.690018,27686,48.3,-4.3
62052,-35.025,173.825,0.728563,27686,48.3,-4.3
62053,-35.025,173.875,0.711817,27686,48.3,-4.3
62054,-35.075,173.225,0.728752,27686,48.3,-4.3
62055,-35.075,173.275,0.731411,27686,48.3,-4.3
62056,-35.075,173.325,0.726058,27686,48.3,-4.3
62057,-35.075,173.375,0.697283,27686,48.3,-4.3
62058,-35.075,173.425,0.673294,27686,48.3,-4.3
62059,-35.075,173.475,0.670851,27686,48.3,-4.3
62060,-35.075,173.525,0.671531,27686,48.3,-4.3
62061,-35.075,173.575,0.687338,27686,48.3,-4.3
62062,-35.075,173.625,0.685582,27686,48.3,-4.3
62063,-35.075,173.675,0.679686,27686,48.3,-4.3
62064,-35.075,173.775,0.660778,27686,48.3,-4.3
62065,-35.075,173.825,0.691642,27686,48.3,-4.3
62066,-35.075,173.875,0.692393,27686,48.3,-4.3
62067,-35.075,173.925,0.703517,27686,48.3,-4.3
62068,-35.125,173.175,0.746435,27686,48.3,-4.3
62069,-35.125,173.225,0.726029,27686,48.3,-4.3
62070,-35.125,173.275,0.696465,27686,48.3,-4.3
62071,-35.125,173.325,0.694157,27686,48.3,-4.3
62072,-35.125,173.375,0.671812,27686,48.3,-4.3
62073,-35.125,173.425,0.67071,27686,48.3,-4.3
62074,-35.125,173.475,0.664032,27686,48.3,-4.3
62075,-35.125,173.525,0.66144,27686,48.3,-4.3
62076,-35.125,173.575,0.682009,27686,48.3,-4.3
62077,-35.125,173.625,0.670246,27686,48.3,-4.3
62078,-35.125,173.675,0.676846,27686,48.3,-4.3
62079,-35.125,173.725,0.652554,27686,48.3,-4.3
62080,-35.125,173.775,0.649805,27686,48.3,-4.3
62081,-35.125,173.825,0.636215,27686,48.3,-4.3
62082,-35.125,173.875,0.66099,27686,48.3,-4.3
62083,-35.125,173.925,0.683453,27686,48.3,-4.3
62084,-35.125,173.975,0.689621,27686,48.3,-4.3
62085,-35.125,174.025,0.705687,27686,48.3,-4.3
62086,-35.125,174.075,0.722784,27686,48.3,-4.3
62087,-35.175,173.075,0.779764,27686,48.3,-4.3
62088,-35.175,173.175,0.749144,27686,48.3,-4.3
62089,-35.175,173.225,0.765561,27686,48.3,-4.3
62090,-35.175,173.275,0.730348,27686,48.3,-4.3
62091,-35.175,173.325,0.674182,27686,48.3,-4.3
62092,-35.175,173.375,0.676684,27686,48.3,-4.3
62093,-35.175,173.425,0.684705,27686,48.3,-4.3
62094,-35.175,173.475,0.690266,27686,48.3,-4.3
62095,-35.175,173.525,0.678746,27686,48.3,-4.3
62096,-35.175,173.575,0.670551,27686,48.3,-4.3
62097,-35.175,173.625,0.665627,27686,48.3,-4.3
62098,-35.175,173.675,0.676736,27686,48.3,-4.3
62099,-35.175,173.725,0.650254,27686,48.3,-4.3
62100,-35.175,173.775,0.633361,27686,48.3,-4.3
62101,-35.175,173.825,0.615927,,,
62102,-35.175,173.875,0.638049,27686,48.3,-4.3
62103,-35.175,173.925,0.647567,27686,48.3,-4.3
62104,-35.175,173.975,0.680799,27686,48.3,-4.3
62105,-35.175,174.075,0.696337,27686,48.3,-4.3
62106,-35.225,173.125,0.789819,27686,48.3,-4.3
62107,-35.225,173.175,0.785229,27686,48.3,-4.3
62108,-35.225,173.225,0.749394,27686,48.3,-4.3
62109,-35.225,173.275,0.685681,27686,48.3,-4.3
62110,-35.225,173.325,0.68049,27686,48.3,-4.3
62111,-35.225,173.375,0.710894,27686,48.3,-4.3
62112,-35.225,173.425,0.71135,27686,48.3,-4.3
62113,-35.225,173.475,0.698473,27686,48.3,-4.3
62114,-35.225,173.525,0.66521,27686,48.3,-4.3
62115,-35.225,173.575,0.650751,27686,48.3,-4.3
62116,-35.225,173.625,0.680918,27686,48.3,-4.3
62117,-35.225,173.675,0.650641,27686,48.3,-4.3
62118,-35.225,173.725,0.640385,27686,48.3,-4.3
62119,-35.225,173.775,0.624974,,,
62120,-35.225,173.825,0.625012,,,
62121,-35.225,173.875,0.624896,27686,48.3,-4.3
62122,-35.225,173.925,0.650703,27686,48.3,-4.3
62123,-35.225,173.975,0.667534,27686,48.3,-4.3
62124,-35.225,174.025,0.689155,27686,48.3,-4.3
62125,-35.275,173.175,0.778228,27686,48.3,-4.3
62126,-35.275,173.225,0.689011,27686,48.3,-4.3
62127,-35.275,173.275,0.681216,27686,48.3,-4.3
62128,-35.275,173.325,0.688563,27686,48.3,-4.3
62129,-35.275,173.375,0.679507,27686,48.3,-4.3
62130,-35.275,173.425,0.677173,27686,48.3,-4.3
62131,-35.275,173.475,0.68537,27686,48.3,-4.3
62132,-35.275,173.575,0.705799,27686,48.3,-4.3
62133,-35.275,173.625,0.731481,27686,48.3,-4.3
62134,-35.275,173.675,0.67966,27686,48.3,-4.3
62135,-35.275,173.725,0.653157,27686,48.3,-4.3
62136,-35.275,173.775,0.641383,27686,48.3,-4.3
62137,-35.275,173.825,0.634427,27686,48.3,-4.3
62138,-35.275,173.875,0.643396,27686,48.3,-4.3
62139,-35.275,173.925,0.650916,27686,48.3,-4.3
62140,-35.275,173.975,0.665957,27686,48.3,-4.3
62141,-35.275,174.025,0.680606,27686,48.3,-4.3
62142,-35.275,174.225,0.705911,27686,48.3,-4.3
62143,-35.275,174.275,0.703715,27686,48.3,-4.3
62144,-35.325,173.175,0.769261,27686,48.3,-4.3
62145,-35.325,173.225,0.695959,27686,48.3,-4.3
62146,-35.325,173.275,0.698185,27686,48.3,-4.3
62147,-35.325,173.325,0.694673,27686,48.3,-4.3
62148,-35.325,173.375,0.696578,27686,48.3,-4.3
62149,-35.325,173.425,0.702425,27686,48.3,-4.3
62150,-35.325,173.475,0.725681,27686,48.3,-4.3
62151,-35.325,173.525,0.709502,27686,48.3,-4.3
62152,-35.325,173.625,0.71306,27686,48.3,-4.3
62153,-35.325,173.675,0.718854,27686,48.3,-4.3
62154,-35.325,173.725,0.667854,27686,48.3,-4.3
62155,-35.325,173.775,0.67478,27686,48.3,-4.3
62156,-35.325,173.825,0.647259,27686,48.3,-4.3
62157,-35.325,173.875,0.658402,27686,48.3,-4.3
62158,-35.325,173.925,0.645814,27686,48.3,-4.3
62159,-35.325,173.975,0.668421,27686,48.3,-4.3
62160,-35.325,174.025,0.690852,27686,48.3,-4.3
62161,-35.325,174.075,0.688837,27686,48.3,-4.3
62162,-35.325,174.125,0.680926,27686,48.3,-4.3
62163,-35.325,174.175,0.687396,27686,48.3,-4.3
62164,-35.325,174.225,0.685919,27686,48.3,-4.3
62165,-35.325,174.275,0.694971,27686,48.3,-4.3
62166,-35.325,174.325,0.693817,27686,48.3,-4.3
62167,-35.375,173.275,0.75402,27686,48.3,-4.3
62168,-35.375,173.325,0.755613,27686,48.3,-4.3
62169,-35.375,173.375,0.700564,27686,48.3,-4.3
62170,-35.375,173.425,0.716576,27686,48.3,-4.3
62171,-35.375,173.525,0.736068,27686,48.3,-4.3
62172,-35.375,173.575,0.729511,27686,48.3,-4.3
62173,-35.375,173.625,0.741475,27686,48.3,-4.3
62174,-35.375,173.675,0.696013,27686,48.3,-4.3
62175,-35.375,173.725,0.695859,27686,48.3,-4.3
62176,-35.375,173.775,0.679442,27686,48.3,-4.3
62177,-35.375,173.825,0.707409,27686,48.3,-4.3
62178,-35.375,173.875,0.675188,27686,48.3,-4.3
62179,-35.375,173.925,0.659493,27686,48.3,-4.3
62180,-35.375,173.975,0.669612,27686,48.3,-4.3
62181,-35.375,174.025,0.687984,27686,48.3,-4.3
62182,-35.375,174.075,0.687745,27686,48.3,-4.3
62183,-35.375,174.125,0.684387,27686,48.3,-4.3
62184,-35.375,174.175,0.685205,27686,48.3,-4.3
62185,-35.375,174.225,0.685774,27686,48.3,-4.3
62186,-35.375,174.275,0.689636,27686,48.3,-4.3
62187,-35.375,174.325,0.679042,27686,48.3,-4.3
62188,-35.425,173.275,0.725912,27686,48.3,-4.3
62189,-35.425,173.325,0.721428,27686,48.3,-4.3
62190,-35.425,173.375,0.712462,27686,48.3,-4.3
62191,-35.425,173.475,0.731052,27686,48.3,-4.3
62192,-35.425,173.525,0.733804,27686,48.3,-4.3
62193,-35.425,173.575,0.712534,27686,48.3,-4.3
62194,-35.425,173.625,0.675502,27686,48.3,-4.3
62195,-35.425,173.675,0.691513,27686,48.3,-4.3
62196,-35.425,173.725,0.692399,27686,48.3,-4.3
62197,-35.425,173.775,0.681705,27686,48.3,-4.3
62198,-35.425,173.825,0.704719,27686,48.3,-4.3
62199,-35.425,173.875,0.684708,27686,48.3,-4.3
62200,-35.425,173.925,0.65867,27686,48.3,-4.3
62201,-35.425,173.975,0.667684,27686,48.3,-4.3
62202,-35.425,174.025,0.694164,27686,48.3,-4.3
62203,-35.425,174.075,0.692428,27686,48.3,-4.3
62204,-35.425,174.125,0.68847,27686,48.3,-4.3
62205,-35.425,174.175,0.66656,27686,48.3,-4.3
62206,-35.425,174.225,0.649199,27686,48.3,-4.3
62207,-35.425,174.275,0.641346,27686,48.3,-4.3
62208,-35.425,174.325,0.648413,27686,48.3,-4.3
62209,-35.475,173.325,0.713921,27686,48.3,-4.3
62210,-35.475,173.375,0.703368,27686,48.3,-4.3
62211,-35.475,173.425,0.754467,27686,48.3,-4.3
62212,-35.475,173.475,0.721131,27686,48.3,-4.3
62213,-35.475,173.525,0.687529,27686,48.3,-4.3
62214,-35.475,173.575,0.676275,27686,48.3,-4.3
62215,-35.475,173.625,0.677254,27686,48.3,-4.3
62216,-35.475,173.675,0.672247,27686,48.3,-4.3
62217,-35.475,173.725,0.652177,27686,48.3,-4.3
62218,-35.475,173.775,0.681672,27686,48.3,-4.3
62219,-35.475,173.825,0.68198,27686,48.3,-4.3
62220,-35.475,173.875,0.672498,27686,48.3,-4.3
62221,-35.475,173.925,0.669096,27686,48.3,-4.3
62222,-35.475,173.975,0.675326,27686,48.3,-4.3
62223,-35.475,174.025,0.704875,27686,48.3,-4.3
62224,-35.475,174.075,0.697964,27686,48.3,-4.3
62225,-35.475,174.125,0.68559,27686,48.3,-4.3
62226,-35.475,174.175,0.669049,27686,48.3,-4.3
62227,-35.475,174.225,0.637954,27686,48.3,-4.3
62228,-35.475,174.275,0.62864,27686,48.3,-4.3
62229,-35.475,174.325,0.643269,27686,48.3,-4.3
62230,-35.475,174.375,0.675476,27016,51.8,-4.3
62231,-35.475,174.425,0.687735,27016,51.8,-4.3
62232,-35.525,173.425,0.738905,27686,48.3,-4.3
62233,-35.525,173.475,0.712346,27686,48.3,-4.3
62234,-35.525,173.525,0.749762,27686,48.3,-4.3
62235,-35.525,173.575,0.711199,27686,48.3,-4.3
62236,-35.525,173.625,0.734738,27686,48.3,-4.3
62237,-35.525,173.675,0.688477,27686,48.3,-4.3
62238,-35.525,173.725,0.674087,27686,48.3,-4.3
62239,-35.525,173.775,0.704514,27686,48.3,-4.3
62240,-35.525,173.825,0.675713,27686,48.3,-4.3
62241,-35.525,173.875,0.692913,27686,48.3,-4.3
62242,-35.525,173.925,0.682417,27686,48.3,-4.3
62243,-35.525,173.975,0.682156,27686,48.3,-4.3
62244,-35.525,174.025,0.713576,27686,48.3,-4.3
62245,-35.525,174.075,0.69971,27686,48.3,-4.3
